code,tramo,nivel,warehouse_id,location_type
GC-P4-T05-N25,672,1,1,STORAGE
GC-P4-T05-N24,671,1,1,STORAGE
GC-P4-T05-N23,670,1,1,STORAGE
GC-P4-T05-N22,669,1,1,STORAGE
GC-P4-T05-N21,668,1,1,STORAGE
GC-P4-T05-N20,667,1,1,STORAGE
GC-P4-T05-N2,666,1,1,STORAGE
GC-P4-T05-N19,665,1,1,STORAGE
GC-P4-T05-N18,664,1,1,STORAGE
GC-P4-T05-N17,663,1,1,STORAGE
GC-P4-T05-N16,662,1,1,STORAGE
GC-P4-T05-N15,661,1,1,STORAGE
GC-P4-T05-N14,660,1,1,STORAGE
GC-P4-T05-N13,659,1,1,STORAGE
GC-P4-T05-N12,658,1,1,STORAGE
GC-P4-T05-N11,657,1,1,STORAGE
GC-P4-T05-N10,656,1,1,STORAGE
GC-P4-T05-N1,655,1,1,STORAGE
GC-P4-T04-N9,654,1,1,STORAGE
GC-P4-T04-N8,653,1,1,STORAGE
GC-P4-T04-N7,652,1,1,STORAGE
GC-P4-T04-N6,651,1,1,STORAGE
GC-P4-T04-N5,650,1,1,STORAGE
GC-P4-T04-N4,649,1,1,STORAGE
GC-P4-T04-N3,648,1,1,STORAGE
GC-P4-T04-N24,647,1,1,STORAGE
GC-P4-T04-N23,646,1,1,STORAGE
GC-P4-T04-N22,645,1,1,STORAGE
GC-P4-T04-N21,644,1,1,STORAGE
GC-P4-T04-N20,643,1,1,STORAGE
GC-P4-T04-N2,642,1,1,STORAGE
GC-P4-T04-N19,641,1,1,STORAGE
GC-P4-T04-N18,640,1,1,STORAGE
GC-P4-T04-N17,639,1,1,STORAGE
GC-P4-T04-N16,638,1,1,STORAGE
GC-P4-T04-N15,637,1,1,STORAGE
GC-P4-T04-N14,636,1,1,STORAGE
GC-P4-T04-N13,635,1,1,STORAGE
GC-P4-T04-N12,634,1,1,STORAGE
GC-P4-T04-N11,633,1,1,STORAGE
GC-P4-T04-N10,632,1,1,STORAGE
GC-P4-T04-N1,631,1,1,STORAGE
GC-P4-T03-N7,630,1,1,STORAGE
GC-P4-T03-N6,629,1,1,STORAGE
GC-P4-T03-N5,628,1,1,STORAGE
GC-P4-T03-N4,627,1,1,STORAGE
GC-P4-T03-N3,626,1,1,STORAGE
GC-P4-T03-N2,625,1,1,STORAGE
GC-P4-T03-N1,624,1,1,STORAGE
GC-P4-T02-N9,623,1,1,STORAGE
GC-P4-T02-N8,622,1,1,STORAGE
GC-P4-T02-N7,621,1,1,STORAGE
GC-P4-T02-N6,620,1,1,STORAGE
GC-P4-T02-N5,619,1,1,STORAGE
GC-P4-T02-N4,618,1,1,STORAGE
GC-P4-T02-N3,617,1,1,STORAGE
GC-P4-T02-N2,616,1,1,STORAGE
GC-P4-T02-N16,615,1,1,STORAGE
GC-P4-T02-N15,614,1,1,STORAGE
GC-P4-T02-N14,613,1,1,STORAGE
GC-P4-T02-N13,612,1,1,STORAGE
GC-P4-T02-N12,611,1,1,STORAGE
GC-P4-T02-N11,610,1,1,STORAGE
GC-P4-T02-N10,609,1,1,STORAGE
GC-P4-T02-N1,608,1,1,STORAGE
GC-P4-T01-PI,607,1,1,STORAGE
GC-P4-T01-G9,606,1,1,STORAGE
GC-P4-T01-G8,605,1,1,STORAGE
GC-P4-T01-G7,604,1,1,STORAGE
GC-P4-T01-G6,603,1,1,STORAGE
GC-P4-T01-G5,602,1,1,STORAGE
GC-P4-T01-G4,601,1,1,STORAGE
GC-P4-T01-G3,600,1,1,STORAGE
GC-P4-T01-G2,599,1,1,STORAGE
GC-P4-T01-G14,598,1,1,STORAGE
GC-P4-T01-G13,597,1,1,STORAGE
GC-P4-T01-G12,596,1,1,STORAGE
GC-P4-T01-G11,595,1,1,STORAGE
GC-P4-T01-G10,594,1,1,STORAGE
GC-P4-T01-G1,593,1,1,STORAGE
GC-P4-PA-07,592,1,1,STORAGE
GC-P4-PA-06,591,1,1,STORAGE
GC-P4-PA-05,590,1,1,STORAGE
GC-P4-PA-04,589,1,1,STORAGE
GC-P4-PA-03,588,1,1,STORAGE
GC-P4-PA-02,587,1,1,STORAGE
GC-P4-PA-01,586,1,1,STORAGE
GC-P3-RECEPCION,585,1,1,RECEIVING
GC-P3-C3-T16-N9,584,1,1,STORAGE
GC-P3-C3-T16-N8,583,1,1,STORAGE
GC-P3-C3-T16-N7,582,1,1,STORAGE
GC-P3-C3-T16-N6,581,1,1,STORAGE
GC-P3-C3-T16-N5,580,1,1,STORAGE
GC-P3-C3-T16-N4,579,1,1,STORAGE
GC-P3-C3-T16-N3,578,1,1,STORAGE
GC-P3-C3-T16-N28,577,1,1,STORAGE
GC-P3-C3-T16-N27,576,1,1,STORAGE
GC-P3-C3-T16-N26,575,1,1,STORAGE
GC-P3-C3-T16-N25,574,1,1,STORAGE
GC-P3-C3-T16-N24,573,1,1,STORAGE
GC-P3-C3-T16-N23,572,1,1,STORAGE
GC-P3-C3-T16-N22,571,1,1,STORAGE
GC-P3-C3-T16-N21,570,1,1,STORAGE
GC-P3-C3-T16-N20,569,1,1,STORAGE
GC-P3-C3-T16-N2,568,1,1,STORAGE
GC-P3-C3-T16-N19,567,1,1,STORAGE
GC-P3-C3-T16-N18,566,1,1,STORAGE
GC-P3-C3-T16-N17,565,1,1,STORAGE
GC-P3-C3-T16-N16,564,1,1,STORAGE
GC-P3-C3-T16-N15,563,1,1,STORAGE
GC-P3-C3-T16-N14,562,1,1,STORAGE
GC-P3-C3-T16-N13,561,1,1,STORAGE
GC-P3-C3-T16-N12,560,1,1,STORAGE
GC-P3-C3-T16-N11,559,1,1,STORAGE
GC-P3-C3-T16-N10,558,1,1,STORAGE
GC-P3-C3-T16-N1,557,1,1,STORAGE
GC-P3-C3-T15-N6,556,1,1,STORAGE
GC-P3-C3-T15-N5,555,1,1,STORAGE
GC-P3-C3-T15-N4,554,1,1,STORAGE
GC-P3-C3-T15-N3,553,1,1,STORAGE
GC-P3-C3-T15-N2,552,1,1,STORAGE
GC-P3-C3-T15-N1,551,1,1,STORAGE
GC-P3-C3-T14-N9,550,1,1,STORAGE
GC-P3-C3-T14-N8,549,1,1,STORAGE
GC-P3-C3-T14-N7,548,1,1,STORAGE
GC-P3-C3-T14-N6,547,1,1,STORAGE
GC-P3-C3-T14-N5,546,1,1,STORAGE
GC-P3-C3-T14-N4,545,1,1,STORAGE
GC-P3-C3-T14-N3,544,1,1,STORAGE
GC-P3-C3-T14-N2,543,1,1,STORAGE
GC-P3-C3-T14-N12,542,1,1,STORAGE
GC-P3-C3-T14-N11,541,1,1,STORAGE
GC-P3-C3-T14-N10,540,1,1,STORAGE
GC-P3-C3-T14-N1,539,1,1,STORAGE
GC-P3-C3-T13-N4,538,1,1,STORAGE
GC-P3-C3-T13-N3,537,1,1,STORAGE
GC-P3-C3-T13-N2,536,1,1,STORAGE
GC-P3-C3-T13-N1,535,1,1,STORAGE
GC-P3-C3-T12-N9,534,1,1,STORAGE
GC-P3-C3-T12-N8,533,1,1,STORAGE
GC-P3-C3-T12-N7,532,1,1,STORAGE
GC-P3-C3-T12-N6,531,1,1,STORAGE
GC-P3-C3-T12-N5,530,1,1,STORAGE
GC-P3-C3-T12-N4,529,1,1,STORAGE
GC-P3-C3-T12-N3,528,1,1,STORAGE
GC-P3-C3-T12-N2,527,1,1,STORAGE
GC-P3-C3-T12-N14,526,1,1,STORAGE
GC-P3-C3-T12-N13,525,1,1,STORAGE
GC-P3-C3-T12-N12,524,1,1,STORAGE
GC-P3-C3-T12-N11,523,1,1,STORAGE
GC-P3-C3-T12-N10,522,1,1,STORAGE
